Major,Gender,Year,Number
Economics,Male,2015,68
English,Female,2015,172
English,Male,2015,78
Environ Sci LAS,Female,2015,29
Environ Sci LAS,Male,2015,38
French,Female,2015,NA
Genetics-LAS,Female,2015,67
Genetics-LAS,Male,2015,43
Geology,Female,2015,21
Geology,Male,2015,38
German,Female,2015,NA
German,Male,2015,NA
History,Female,2015,76
History,Male,2015,171
Interdisc St,Female,2015,141
Interdisc St,Male,2015,237
Intnsv Engl LAS,Female,2015,27
Intnsv Engl LAS,Male,2015,39
Journ/Mass Comm,Female,2015,197
Journ/Mass Comm,Male,2015,123
Lib Arts/Sc Crt,Male,2015,NA
Lib Arts/Sc Opt,Female,2015,2
Lib Arts/Sc Opt,Male,2015,1
Lib Arts/Sc Spc,Female,2015,111
Lib Arts/Sc Spc,Male,2015,133
Liberal Studies,Female,2015,58
Liberal Studies,Male,2015,53
Linguistics,Female,2015,48
Linguistics,Male,2015,18
Mathematics,Female,2015,86
Mathematics,Male,2015,112
Meteorology,Female,2015,32
Meteorology,Male,2015,61
Music,Female,2015,54
Music,Male,2015,53
Open Option-LAS,Female,2015,468
Open Option-LAS,Male,2015,439
P-Prof Hlth Prg,Female,2015,32
P-Prof Hlth Prg,Male,2015,15
Performing Arts,Female,2015,30
Performing Arts,Male,2015,18
Philosophy,Female,2015,7
Philosophy,Male,2015,25
Physics,Female,2015,16
Physics,Male,2015,80
Political Sc,Female,2015,78
Political Sc,Male,2015,133
Pre-Advertising,Female,2015,NA
Pre-Advertising,Male,2015,NA
Pre-Computer Sc,Female,2015,35
Pre-Computer Sc,Male,2015,283
Pre-Journ/Ms Cm,Female,2015,NA
Pre-Journ/Ms Cm,Male,2015,NA
Pre-Liberal St,Female,2015,14
Pre-Liberal St,Male,2015,42
PreBiol/Med Ill,Female,2015,43
PreBiol/Med Ill,Male,2015,11
Prep Human Med,Female,2015,48
Prep Human Med,Male,2015,29
Prep Law,Female,2015,9
Prep Law,Male,2015,6
Psychology,Female,2015,525
Psychology,Male,2015,187
Public Relation,Female,2015,193
Public Relation,Male,2015,39
Religious St,Female,2015,6
Religious St,Male,2015,7
Russian St,Female,2015,NA
Sociology,Female,2015,41
Sociology,Male,2015,32
Software Engr,Female,2015,18
Software Engr,Male,2015,205
Spanish,Female,2015,NA
Spanish,Male,2015,NA
Speech Comm,Female,2015,16
Speech Comm,Male,2015,7
Statistics,Female,2015,44
Statistics,Male,2015,36
Technical Comm,Female,2015,11
Technical Comm,Male,2015,14
Women's Studies,Female,2015,11
Women's Studies,Male,2015,2
World Lng & Cul,Female,2015,49
World Lng & Cul,Male,2015,24
Advertising,Female,2016,114
Advertising,Male,2016,85
Anthropology,Female,2016,49
Anthropology,Male,2016,19
Biochemistry,Female,2016,84
Biochemistry,Male,2016,85
Bioinfo & Com B,Female,2016,11
Bioinfo & Com B,Male,2016,11
Biol/Pre-Med Il,Female,2016,10
Biol/Pre-Med Il,Male,2016,3
Biology,Female,2016,240
Biology,Male,2016,167
Biophysics,Female,2016,2
Biophysics,Male,2016,2
Chemistry,Female,2016,71
Chemistry,Male,2016,89
Comm Studies,Female,2016,123
Comm Studies,Male,2016,66
Computer Sc,Female,2016,24
Computer Sc,Male,2016,256
Criminal Jst St,Female,2016,40
Criminal Jst St,Male,2016,56
Earth Science,Female,2016,4
Earth Science,Male,2016,7
Economics,Female,2016,27
Economics,Male,2016,69
English,Female,2016,192
English,Male,2016,87
Environ Sci LAS,Female,2016,25
Environ Sci LAS,Male,2016,37
French,Female,2016,NA
