series_id,year,period,value,date,area_code,base_period,series_title,begin_year,begin_period,end_year,end_period,area_name,region,sort_sequence
CUURA210SA0,2009,1,198.232,2009-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2009,3,199.45700000000002,2009-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2009,5,200.196,2009-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2009,7,200.55800000000002,2009-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2009,9,201.836,2009-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2009,11,201.471,2009-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2010,1,203.037,2010-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2010,3,203.577,2010-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2010,5,204.024,2010-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2010,7,203.989,2010-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2010,9,205.49200000000002,2010-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
