Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
4,6,1.79,102300,23520,2968,1267,65330,180.4,18.44,676,2.17,32.84,49.4,11.56,4.48,9.61,3.83,1.275,1.118
4,7,2.1,102850,23580,2984,1283,66060,177.7,18.14,682,2.06,32.72,50.73,11.42,4.49,9.53,3.49,1.29,1.177
4,8,2.28,102920,23630,2986,1277,65630,183.9,18.76,681,2.17,33.39,49.5,11.19,4.47,9.79,3.77,1.245,1.063
4,9,2.36,103200,23590,2971,1292,65510,180.5,18.63,674,2.32,32.71,50.6,11.7,4.45,9.84,3.65,1.36,1.101
4,10,2.53,102640,23500,2941,1284,65100,189.3,18.36,694,2,32.62,48.16,11.02,4.62,9.88,3.84,1.315,1.077
4,11,2.06,102480,23570,3036,1283.5,66160,181.2,18.75,687,2.14,32.99,53.79,11.45,4.41,9.37,3.74,1.42,1.133
4,12,2,103780,23910,3010,1275,66230,185.5,18.57,701,2.15,33.06,53.08,11.59,4.45,9.8,3.56,1.39,1.09
4,13,1.85,103420,23790,2995,1292,66320,181.4,18.45,686,2.04,32.44,54.2,11.63,4.55,9.58,3.81,1.45,1.151
4,14,1.88,102900,23800,3009,1271,66030,185.7,18.55,668,2.16,32.52,54.1,11.79,4.4,9.81,3.91,1.34,1.115
4,15,1.73,103890,23860,3020,1289,66650,181.8,18.52,701,2.31,32.9,55.2,11.3,4.47,9.9,4.01,1.375,1.126
4,16,1.88,102410,23690,2980,1281,65670,181.7,18.41,705,2.29,32.56,53.9,11.34,4.39,9.53,3.8,1.413,1.116
4,17,2.41,102670,23450,2975,1273.8,65860,176.5,18.16,681,2.09,32.47,52.8,11.22,4.33,9.45,3.64,1.49,1.114
4,18,1.72,103100,23570,2953,1281,65430,179.4,18.82,684,2.17,32.36,51.9,11.25,4.43,9.52,3.53,1.33,1.028
4,19,1.88,103470,23410,2961,1288,65790,188.5,19.19,686,2.36,33.36,49.98,11.41,4.55,10.04,3.59,1.224,1.111
4,20,2.21,102760,23240,2903,1272,64140,179.9,18.39,685,1.95,31.76,49.18,10.53,4.29,9.56,3.59,1.252,1.101
5,1,1.56,103270,23700,2906,1274,64910,178.8,18.46,679,2.06,33.19,47.1,11.21,4.29,9.65,3.85,1.313,1.181
5,2,1.92,101880,23380,2784,1267,63290,177.7,17.73,685,2.28,31.55,45.1,11.1,4.31,9.51,3.45,1.3,1.139
5,3,2.14,102120,23430,2796,1285,64560,175.9,18.65,672,2.17,32.58,47.11,11.48,4.19,9.74,3.58,1.27,1.091
5,4,1.81,99200,22170,2585,1200,59350,171,18.24,667,2,30.65,42.91,10.65,3.83,9.32,3.55,1.192,1.15
5,5,1.85,99710,22910,2841,1219,62990,175.2,18.4,682,1.92,32.34,48.85,11.61,4.34,9.52,3.71,1.296,1.17
